,0,1,2,3,4,5
0,239.0,1.0,2.0,4828.0,3.99917780062,0.000411057436593
1,165.0,1.0,2.0,1989.0,3.99800548492,0.000997008849106
2,172.0,1.0,3.0,1333.0,5.99462044232,0.00179211373462
3,97.0,1.0,2.0,1277.0,3.99688715953,0.00155581438674
4,217.0,1.0,1.0,5836.0,1.99977257221,0.000227427791676
5,336.0,1.0,5.0,1904.0,9.99246534057,0.00150602341229
6,200.0,1.0,3.0,2838.0,5.99750692521,0.000830794698048
7,149.0,1.0,1.0,4700.0,1.99971639251,0.000283607487238
8,214.0,1.0,4.0,1590.0,7.99330263709,0.00167328922694
9,126.0,1.0,2.0,1650.0,3.99761265294,0.00119331720983
10,219.0,1.0,2.0,2696.0,3.99850271383,0.000748502941563
11,370.0,1.0,4.0,2698.0,7.99603174603,0.00099169437505
12,204.0,1.0,5.0,914.0,9.98435544431,0.00312499387928
13,124.0,1.0,5.0,352.0,9.95974235105,0.00802557804275
14,112.0,1.0,5.0,304.0,9.95442114859,0.00908250104798
15,232.0,1.0,4.0,1847.0,7.99420604744,0.00144770120381
16,218.0,1.0,2.0,2046.0,3.998062954,0.000968288436424
17,128.0,1.0,2.0,691.0,3.99429386591,0.00285103059665
18,160.0,1.0,1.0,4449.0,1.99969729075,0.000302709247768
19,232.0,1.0,2.0,3103.0,3.99871113259,0.000644329863453
20,123.0,1.0,4.0,551.0,7.98059429958,0.00484259362838
21,216.0,1.0,2.0,3209.0,3.99876045863,0.00061967464104
22,438.0,1.0,4.0,3330.0,7.99677191567,0.00080677682765
23,475.0,1.0,5.0,2267.0,9.99383629191,0.00123213368166
24,271.0,1.0,4.0,1205.0,7.9914461374,0.00213675030412
25,99.0,1.0,4.0,398.0,7.9739201304,0.00650401315693
26,274.0,1.0,3.0,2994.0,5.99761494634,0.000794807175502
27,306.0,1.0,2.0,4722.0,3.99916466534,0.00041762371192
28,171.0,1.0,5.0,537.0,9.97427983539,0.00513344304446
29,159.0,1.0,1.0,4525.0,1.99970497123,0.000295028765305
30,350.0,1.0,5.0,2550.0,9.99454624782,0.00109027448978
31,132.0,1.0,2.0,1401.0,3.99714998219,0.00142450106279
32,262.0,1.0,2.0,2580.0,3.99844418514,0.000777756114597
33,93.0,2.0,3.0,569.0,5.98706896552,0.0043041473512
34,190.0,1.0,2.0,3783.0,3.99895013123,0.000524865485134
35,307.0,1.0,2.0,4165.0,3.99904271868,0.000478583379449
36,484.0,1.0,5.0,2589.0,9.99438643763,0.0011222082234
37,243.0,1.0,4.0,1667.0,7.99360894747,0.00159680562275
38,467.0,1.0,5.0,2351.0,9.99398604763,0.00120221172232
39,294.0,1.0,5.0,2270.0,9.99360204734,0.00127893550644
40,232.0,1.0,2.0,1935.0,3.99790411318,0.00104766879276
41,387.0,1.0,5.0,2139.0,9.99324962873,0.00134934507544
42,236.0,1.0,2.0,4218.0,3.99905893424,0.000470477521676
43,473.0,1.0,5.0,2840.0,9.99497184232,0.00100522697801
44,329.0,1.0,5.0,2451.0,9.99428636727,0.00114220415626
45,237.0,1.0,3.0,2661.0,5.99725484215,0.000914773465856
46,306.0,1.0,4.0,2587.0,7.99583007558,0.00104207351435
47,228.0,1.0,2.0,1.0,9.98969709458,0.00205888233606
48,107.0,1.0,3.0,499.0,5.98573692552,0.00474681754601
49,170.0,1.0,1.0,4700.0,1.99971898272,0.000281017282563
50,273.0,1.0,1.0,1.0,9.9895572264,0.00208680953131
51,289.0,1.0,3.0,2884.0,5.99749756708,0.000833912342475
52,158.0,1.0,2.0,1439.0,3.99720572826,0.00139664770379
53,199.0,1.0,4.0,1541.0,7.99309749784,0.00172450862952
54,305.0,1.0,5.0,1906.0,9.99231596742,0.00153586166115
55,239.0,1.0,4.0,1475.0,7.99297475302,0.00175515475473
56,184.0,1.0,5.0,563.0,9.9747983871,0.00503015551543
57,197.0,1.0,1.0,2412.0,1.99944102851,0.000558971492454
58,50.0,1.0,1.0,736.0,1.99820143885,0.00179856115108
59,93.0,1.0,1.0,2733.0,1.99951326357,0.000486736432222
60,263.0,1.0,3.0,3723.0,5.99808795411,0.00063721321089
61,200.0,1.0,2.0,4491.0,3.99909461295,0.000452642287826
62,346.0,1.0,4.0,1786.0,7.99404983265,0.00148671189002
